t (ms), vlv (ml), plv (mmHg), part (mmHg)
1.837914704659181098e+02,6.679000000000000625e+01,9.750320938695035977e+01,9.669838105923214755e+01
1.870004427093814172e+02,6.621999999999999886e+01,9.760212347652922915e+01,9.693674249630252859e+01
1.902201473014850990e+02,6.568999999999999773e+01,9.770136838246121158e+01,9.717590112881462971e+01
1.934291195449484064e+02,6.518000000000000682e+01,9.780028247204008096e+01,9.741426256588501076e+01
1.966380917884117423e+02,6.470999999999999375e+01,9.794031983519803930e+01,9.764918007202467720e+01
1.998470640318750782e+02,6.426999999999999602e+01,9.822258672490789877e+01,9.787218635069814354e+01
2.030560362753384140e+02,6.384000000000000341e+01,9.850485361461777245e+01,9.809519262937162409e+01
2.062650085188017215e+02,6.343999999999999773e+01,9.878712050432764613e+01,9.831819890804509043e+01
2.094739807622650574e+02,6.303999999999999915e+01,9.906938739403750560e+01,9.854120518671857099e+01
2.126829530057284217e+02,6.264999999999999858e+01,9.936752703336640025e+01,9.876098724565446219e+01
2.158919252491917291e+02,6.225999999999999801e+01,9.976606982598973161e+01,9.896037448728795027e+01
2.191008974926550081e+02,6.186999999999999744e+01,1.001646126186130488e+02,9.915976172892142415e+01
2.223098697361183724e+02,6.146999999999999886e+01,1.005631554112363943e+02,9.935914897055489803e+01
2.255188419795817083e+02,6.107000000000000028e+01,1.009616982038597257e+02,9.955853621218838612e+01
2.287278142230450158e+02,6.064999999999999858e+01,1.013585021909754289e+02,9.975556847875897404e+01
2.319367864665083800e+02,6.022999999999999687e+01,1.017213653065066552e+02,9.990663246086994320e+01
2.351457587099716875e+02,5.981000000000000227e+01,1.020842284220378957e+02,1.000576964429808982e+02
2.383547309534350234e+02,5.939999999999999858e+01,1.024470915375691220e+02,1.002087604250918673e+02
2.415637031968983308e+02,5.899000000000000199e+01,1.028099546531003625e+02,1.003598244072028365e+02
2.447726754403616667e+02,5.860000000000000142e+01,1.031728177686315888e+02,1.005108883893138056e+02
2.479816476838249741e+02,5.821999999999999886e+01,1.033646033643892537e+02,1.005916368504429954e+02
2.511906199272883384e+02,5.786999999999999744e+01,1.035494384232939638e+02,1.006695285328407579e+02
2.543995921707516743e+02,5.753000000000000114e+01,1.037342734821986880e+02,1.007474202152385061e+02
2.576085644142149818e+02,5.721999999999999886e+01,1.039191085411033981e+02,1.008253118976362543e+02
2.608175366576783176e+02,5.693999999999999773e+01,1.041039436000081224e+02,1.009032035800340026e+02
2.640265089011416535e+02,5.667000000000000171e+01,1.041165432235930410e+02,1.008955047468765116e+02
2.672354811446049894e+02,5.642000000000000171e+01,1.041041280926696686e+02,1.008753751050943066e+02
2.704444533880682684e+02,5.617999999999999972e+01,1.040917129617463104e+02,1.008552454633121016e+02
2.736641579801719786e+02,5.595000000000000284e+01,1.040792563086459381e+02,1.008350484983132418e+02
2.768731302236353145e+02,5.571999999999999886e+01,1.040668411777225799e+02,1.008149188565310368e+02
2.800821024670985935e+02,5.549000000000000199e+01,1.039471547227471291e+02,1.006978750051249278e+02
2.832910747105619294e+02,5.525000000000000000e+01,1.037987381726571243e+02,1.005548749675241567e+02
2.865000469540253221e+02,5.500999999999999801e+01,1.036503216225671338e+02,1.004118749299233713e+02
2.897090191974886579e+02,5.475000000000000000e+01,1.035019050724771432e+02,1.002688748923225859e+02
2.929179914409519370e+02,5.449000000000000199e+01,1.033534885223871527e+02,1.001258748547218005e+02
2.961269636844152728e+02,5.421999999999999886e+01,1.031336565010418553e+02,9.988295950639334819e+01
2.993359359278786087e+02,5.395000000000000284e+01,1.028833598873933823e+02,9.959742203217733447e+01
3.025449081713419446e+02,5.367999999999999972e+01,1.026330632737449235e+02,9.931188455796132075e+01
3.057538804148052236e+02,5.342000000000000171e+01,1.023827666600964506e+02,9.902634708374530703e+01
3.089628526582686163e+02,5.314999999999999858e+01,1.021324700464479776e+02,9.874080960952927910e+01
3.121718249017319522e+02,5.289999999999999858e+01,1.015686503120197415e+02,9.839842826505389439e+01
3.153807971451952881e+02,5.265999999999999659e+01,1.008070638259319338e+02,9.802019046589349216e+01
3.185897693886585671e+02,5.242999999999999972e+01,1.000454773398441404e+02,9.764195266673307572e+01
3.217987416321219030e+02,5.221999999999999886e+01,9.928389085375633272e+01,9.726371486757267348e+01
3.250077138755852388e+02,5.202000000000000313e+01,9.852230436766851085e+01,9.688547706841225704e+01
3.282166861190485179e+02,5.182000000000000028e+01,9.712019657090905866e+01,9.651070232530001647e+01
3.314256583625118537e+02,5.164000000000000057e+01,9.513955576411983373e+01,9.613905549098031145e+01
3.346346306059752465e+02,5.146999999999999886e+01,9.315891495733056615e+01,9.576740865666060643e+01
3.378436028494385823e+02,5.131000000000000227e+01,9.117827415054134121e+01,9.539576182234090140e+01
3.410525750929018614e+02,5.115999999999999659e+01,8.919763334375214470e+01,9.502411498802119638e+01
3.442615473363651972e+02,5.100999999999999801e+01,8.648339899706860479e+01,9.469709031203819904e+01
3.474705195798285331e+02,5.086999999999999744e+01,8.282654445462114268e+01,9.442740222006167983e+01
3.506794918232918121e+02,5.074000000000000199e+01,7.916968991217373741e+01,9.415771412808517482e+01
3.538991964153955223e+02,5.061999999999999744e+01,7.550060508697558248e+01,9.388712406924585707e+01
3.571081686588588582e+02,5.050000000000000000e+01,7.184375054452812037e+01,9.361743597726933785e+01
3.603171409023221372e+02,5.039000000000000057e+01,6.790710267027117197e+01,9.339002409950492734e+01
3.635261131457855299e+02,5.028999999999999915e+01,6.345812178057344255e+01,9.324002471820215021e+01
3.667350853892488658e+02,5.020000000000000284e+01,5.900914089087579839e+01,9.309002533689937309e+01
3.699440576327122017e+02,5.010999999999999943e+01,5.456016000117815423e+01,9.294002595559661017e+01
3.731530298761755375e+02,5.003999999999999915e+01,5.011117911148051007e+01,9.279002657429383305e+01
3.763620021196388734e+02,4.996999999999999886e+01,4.590193400793234701e+01,9.265795068813669388e+01
3.795709743631021524e+02,4.990999999999999659e+01,4.235610844868814695e+01,9.257547439314960513e+01
3.827799466065654883e+02,4.985999999999999943e+01,3.881028288944388294e+01,9.249299809816251638e+01
3.859889188500288810e+02,4.982000000000000028e+01,3.526445733019955497e+01,9.241052180317542764e+01
3.891978910934921601e+02,4.978000000000000114e+01,3.171863177095535491e+01,9.232804550818835310e+01
3.924068633369554959e+02,4.975999999999999801e+01,2.835940594439790274e+01,9.224806896938933676e+01
3.956158355804188318e+02,4.975000000000000000e+01,2.586385898840500275e+01,9.217966257900430094e+01
3.988248078238821677e+02,4.974000000000000199e+01,2.336831203241210630e+01,9.211125618861926512e+01
4.020337800673454467e+02,4.974000000000000199e+01,2.087276507641925249e+01,9.204284979823424351e+01
4.052427523108088394e+02,4.974000000000000199e+01,1.837721812042630987e+01,9.197444340784920769e+01
4.084517245542721184e+02,4.975000000000000000e+01,1.595808144904547454e+01,9.190491645026220624e+01
4.116606967977355112e+02,4.975999999999999801e+01,1.431256109881320882e+01,9.182404430425205533e+01
4.148696690411987902e+02,4.977000000000000313e+01,1.266704074858100348e+01,9.174317215824190441e+01
4.180786412846621261e+02,4.978000000000000114e+01,1.102152039834876796e+01,9.166230001223175350e+01
4.212876135281254051e+02,4.979999999999999716e+01,9.376000048116562624e+00,9.158142786622160259e+01
4.244965857715887410e+02,4.982000000000000028e+01,7.731932462423347197e+00,9.150052870881138745e+01
4.277055580150521337e+02,4.984000000000000341e+01,6.772956441524919491e+00,9.140689157367948781e+01
