t (ms),vlv (ml),plv (mmHg),pao (mmHg)
611.5584512,70.06,4.175414246,73.68225605
614.8989413,70.59,4.184156297,73.59001028
618.2512771,71.14,4.190177552,73.50338262
621.5917672,71.7,4.193792747,73.42193597
624.9322573,72.26,4.195330166,73.34521965
628.2727475,72.83,4.195118632,73.27278246
631.6250833,73.41,4.19348697,73.20417319
634.9655734,74,4.190763313,73.13894132
638.3060635,74.59,4.187270871,73.07664126
641.6465536,75.19,4.183330725,73.01682957
644.9988895,75.8,4.17926395,72.95906278
648.3393796,76.4,4.175391618,72.90289746
651.6798697,76.98,4.172035273,72.84788969
655.0203598,77.54,4.16951782,72.7935942
658.3726956,78.08,4.168162409,72.73956544
661.7131858,78.57,4.168292191,72.68535791
665.0536759,79.01,4.170230309,72.63052607
668.394166,79.4,4.174299676,72.57462464
671.7465018,79.72,4.180822906,72.51720863
675.0869919,79.99,4.190122593,72.45783307
678.427482,80.21,4.20252133,72.396053
681.7679722,80.39,4.21834172,72.33142343
685.1084623,80.54,4.237906453,72.2634993
688.4607981,80.66,4.261538271,72.19183549
691.8012882,80.76,4.289559919,72.11598688
695.1417783,80.84,4.322294137,72.03550836
698.4822685,80.93,4.360063664,71.94995481
701.8346043,81.02,4.403191208,71.85888115
705.1750944,81.11,4.451999473,71.7618423
708.5155845,81.2,4.506811163,71.65839318
711.8560746,81.3,4.567948979,71.54808871
715.2084105,81.39,4.635735629,71.43048382
718.5489006,81.48,4.710493825,71.3051334
721.8893907,81.57,4.792546283,71.17159238
725.2298808,81.65,4.882215715,71.02941567
728.5822166,81.74,4.979824835,70.87815816
731.9227067,81.82,5.085696355,70.71737479
735.2631969,81.9,5.200152986,70.54662046
735.5356482,81.67,5.323517439,70.36545008
741.9797142,82.36,5.456112426,70.17341858
748.435626,83.06,5.598260656,69.97008085
754.879692,83.76,5.750284841,69.75499183
761.3237581,84.43,5.912507694,69.52770641
767.7678241,85.06,6.085251925,69.28777951
774.2118901,85.63,6.268840247,69.03476605
780.6678019,86.12,6.46359537,68.76822094
787.1118679,86.51,6.669840007,68.48769909
793.555934,86.8,6.887896868,68.19275541
800,86.95,7.118088667,67.88294482
